word,meaning_correct,meaning_fix,word_sentiment,system_understands,understanding_correction,different_context,context_explanation,system_sentiment,system_intensity,prompt_type,example_sentence,timestamp,participant_id,language
Mokgatlo,Yes,,Positive,Yes,,Yes,,neutral,1,zero-shot,Mokgatlo wa baswa o beakantše diphuthego tša go hlokomela tikologo.,2025-04-21 01:04:27,sepedi_20250421_010347,sepedi
Kgorong,No,"kgorong means court, bodidi or motlhako is poverty",Negative,No,,No,,neutral,1,zero-shot,Kgorong ya sekolo e bulega ka iri ya borobedi mesong.,2025-04-21 01:05:24,sepedi_20250421_010347,sepedi
tlwaelo,No,means being used to something,Neutral,No,,No,,neutral,1,zero-shot,Go bohlokwa go hlompha tlwaelo ya setšhaba se sengwe ge o etela mafelo a mafsa.,2025-04-21 01:05:55,sepedi_20250421_010347,sepedi
nyamišwa,Yes,,Positive,Yes,,Yes,,negative,3,few-shot,Ke nyamišwa ke boitshwaro bja gagwe bjo bo sa hlomphegi.,2025-04-21 01:06:16,sepedi_20250421_010347,sepedi
phethedišo,No,means outcome of something,Negative,No,,Yes,,neutral,1,few-shot,Phethedišo ya dipuku tša sekolo e dirwa ngwaga o mongwe le o mongwe go netefatša gore di a lekana.,2025-04-21 01:07:35,sepedi_20250421_010347,sepedi
makgakga,Yes,,Positive,Yes,,Yes,,negative,3,zero-shot,Makgakga a mošomong a dirile gore re palelwe ke go fihlelela diphetho tše di holago.,2025-04-21 01:08:06,sepedi_20250421_010347,sepedi
thakgala,Yes,means to be excited by,Positive,Yes,,Yes,,neutral,1,zero-shot,Thakgala ya diphoofolo tša naga e dirwa ka maikemišetšo a go šireletša mehutahuta ya diphedi.,2025-04-21 01:08:27,sepedi_20250421_010347,sepedi
lethabo,Yes,,Positive,Yes,,Yes,,positive,3,few-shot,Lethabo le tletše ka lapeng ge re be re keteka matswalo a mma.,2025-04-21 01:08:32,sepedi_20250421_010347,sepedi
nyama,Yes,,Positive,Yes,,Yes,,neutral,1,zero-shot,Ke ratile go apea nama ya kgogo ka mokgwa wa setšo.,2025-04-21 01:08:36,sepedi_20250421_010347,sepedi
mahlakahlaka,Yes,,Positive,Yes,,Yes,,neutral,1,few-shot,Mahlakahlaka a dithaba a bontšha botse bja tlhago ye e sa hlwekago.,2025-04-21 01:08:47,sepedi_20250421_010347,sepedi
kwatile,Yes,,Positive,Yes,,Yes,,negative,3,zero-shot,O kwatile ka lebaka la go se hlomphege ga gagwe.,2025-04-21 01:09:12,sepedi_20250421_010347,sepedi
kgahlego,Yes,,Positive,Yes,,Yes,,positive,3,few-shot,Kgahlego ya gagwe mo dithutong e mo thušitše go hwetša maemo a godimo sekolong.,2025-04-21 01:09:19,sepedi_20250421_010347,sepedi
Tshireletso,Yes,means protection,Neutral,Yes,,Yes,,neutral,1,zero-shot,Tshireletso ya tikologo ke boikarabelo bja rena ka moka.,2025-04-21 01:10:24,sepedi_20250421_010347,sepedi
thabo,Yes,,Positive,Yes,,Yes,,positive,3,zero-shot,Thabo o be a bonagala sefahlegong sa gagwe ge a amogela mpho ye kgolo.,2025-04-21 01:10:29,sepedi_20250421_010347,sepedi
