word,meaning_correct,meaning_fix,word_sentiment,system_understands,understanding_correction,different_context,context_explanation,system_sentiment,system_intensity,prompt_type,example_sentence,timestamp,participant_id,language
mokgethwa,No,mokgethwa can mean chosen or MC or host,Neutral,No,,Yes,,neutral,1,zero-shot,Mokgethwa o rapela kereke hoseng ho hong le ho hong.,2025-04-21 09:16:02,sotho_20250421_091436,sotho
tsebiso,Yes,,Neutral,Yes,,No,,neutral,1,zero-shot,Tsebiso ya kopano e tla etswa hosane ka nako ya leshome.,2025-04-21 09:16:22,sotho_20250421_091436,sotho
kgathala,Yes,,Neutral,Yes,,Yes,,negative,3,few-shot,"Bana ba kgathala ho etsa mosebetsi wa sekolo, ba batla ho bapala feela.",2025-04-21 09:16:41,sotho_20250421_091436,sotho
lerato,Yes,,Positive,Yes,,Yes,,neutral,1,few-shot,Lerato o ile a bula lebenkele la hae la dibuka motseng wa habo.,2025-04-21 09:16:55,sotho_20250421_091436,sotho
makatsa,Yes,,Positive,Yes,,Yes,,neutral,1,zero-shot,Pula e nele ka tsela e makatsa ka ha e ne e le selemo.,2025-04-21 09:17:15,sotho_20250421_091436,sotho
nyahama,Yes,,Negative,Yes,,Yes,,neutral,1,few-shot,Ke nyahama ha ke bona batho ba hlekefetsang ba bang.,2025-04-21 09:17:52,sotho_20250421_091436,sotho
ho hlonama,Yes,,Positive,Yes,,Yes,,negative,3,few-shot,Ke ile ka ho hlonama haholo ha ke utlwa ka tshenyeho ya ntate wa hao.,2025-04-21 09:18:08,sotho_20250421_091436,sotho
thabo,Yes,,Positive,Yes,,Yes,,neutral,1,zero-shot,Thabo o ile a tsamaya ho ya sekolong hoseng.,2025-04-21 09:18:09,sotho_20250421_091436,sotho
kgalefo,Yes,,Positive,Yes,,Yes,,negative,3,zero-shot,"Monna eo o ile a otla ngwana wa hae ka kgalefo e kgolo, e leng ntho e sa amoheleheng ho hang.",2025-04-21 09:18:09,sotho_20250421_091436,sotho
monate,Yes,,Positive,Yes,,Yes,,positive,3,few-shot,"Dijo tsa mme di monate haholo, ke ka hoo ke ratang ho ja lapeng.",2025-04-21 09:18:10,sotho_20250421_091436,sotho
nyahama,Yes,,Negative,Yes,,Yes,,neutral,1,few-shot,Ke nyahama ha ke bona batho ba hlekefetsang ba bang.,2025-04-21 09:17:52,sotho_20250421_091436,sotho
ho hlonama,Yes,,Positive,Yes,,Yes,,negative,3,few-shot,Ke ile ka ho hlonama haholo ha ke utlwa ka tshenyeho ya ntate wa hao.,2025-04-21 09:18:08,sotho_20250421_091436,sotho
thabo,Yes,,Positive,Yes,,Yes,,neutral,1,zero-shot,Thabo o ile a tsamaya ho ya sekolong hoseng.,2025-04-21 09:18:09,sotho_20250421_091436,sotho
kgalefo,Yes,,Positive,Yes,,Yes,,negative,3,zero-shot,"Monna eo o ile a otla ngwana wa hae ka kgalefo e kgolo, e leng ntho e sa amoheleheng ho hang.",2025-04-21 09:18:09,sotho_20250421_091436,sotho
monate,Yes,,Positive,Yes,,Yes,,positive,3,few-shot,"Dijo tsa mme di monate haholo, ke ka hoo ke ratang ho ja lapeng.",2025-04-21 09:18:10,sotho_20250421_091436,sotho
monate,Yes,,Positive,Yes,,Yes,,positive,3,few-shot,"Dijo tsa mme di monate haholo, ke ka hoo ke ratang ho ja lapeng.",2025-04-21 09:18:10,sotho_20250421_091436,sotho
nyahama,Yes,,Negative,Yes,,Yes,,neutral,1,few-shot,Ke nyahama ha ke bona batho ba hlekefetsang ba bang.,2025-04-21 09:17:52,sotho_20250421_091436,sotho
