word,meaning,prompt_type,sentiment,rating,explanation,analysis_valid,analysis_error,source_sentences
bohloko,pain,zero-shot,negative,3,"The word 'bohloko' translates to 'pain' in English, indicating a negative sentiment with moderate intensity.",True,,"[""Bohloko bja go lahlegelwa ke moratiwa bo a nyami\u0161a kudu."", ""Bohloko bja tlala bo dira gore batho ba tlai\u0161ege.""]"
boipshino,joy,zero-shot,neutral,1,"The text 'boipshino' is a noun meaning 'fun' or 'entertainment' in Sepedi, but it does not convey any specific emotional tone or subjective opinion on its own.",True,,"[""Boipshino bja go ithuta dipapadi t\u0161e mpsha bo thu\u0161a bana go hlabolla mabokgoni a bona."", ""Moletlwaneng wa sekolo, go be go na le boipshino bjo bo fapafapanego bjalo ka dipapadi le mmino.""]"
hlologelo,Longing,few-shot,positive,3,"The word 'hlologelo' in Sepedi generally conveys a sense of growth or development, which is typically viewed positively.",True,,"[""Hlologelo ya gagwe mo\u0161omong e dirile gore a hwet\u0161e moputso wa maemo a godimo."", ""Bana ba thabela hlologelo ya dipapadi t\u0161a sekolo gomme ba bont\u0161ha bokgoni bjo bogolo.""]"
Kgahlego,excitement,zero-shot,neutral,1,"The text 'Kgahlego' is a noun meaning 'interest' or 'curiosity' in Sepedi, which does not inherently convey a positive or negative sentiment.",True,,"[""Kgahlego ya gagwe mo dipapading e mo dirile gore a be le maitemogelo a mant\u0161i."", ""Bana ba na le kgahlego e kgolo go ithuta ka diphoofolo t\u0161a naga.""]"
kgaleme,Deeply in love,few-shot,neutral,1,"The text 'kgaleme' is a single word without context, making it difficult to determine any specific sentiment or emotional tone.",True,,"[""Moruti o ile a kgaleme bana ka lebaka la go se kwe."", ""Mmago o kgaleme ngwana ge a sa dire me\u0161omo ya sekolo.""]"
kgethollo,Feeling anxious or worried,few-shot,neutral,1,"The text 'kgethollo' is a single word without context, making it difficult to determine any emotional tone or subjective opinion.",True,,"[""Kgethollo ya me\u0161omo e ka baka diphapano mo lefelong la mo\u0161omo."", ""Diphetho t\u0161a kgethollo di swanet\u0161e go pho\u0161ollwa ka molao.""]"
Kgotsofalo,disappointment,zero-shot,positive,3,"The word 'Kgotsofalo' suggests satisfaction or contentment, indicating a positive sentiment.",True,,"[""Kgotsofalo ya gagwe ka mo\u0161omo wa gagwe e mo dirile gore a hwet\u0161e moputso."", ""Bana ba ile ba bont\u0161ha kgotsofalo ge ba be ba amogela dipuku t\u0161e mpsha t\u0161a go bala.""]"
kgwetlhe,Feeling relieved or comforted,few-shot,neutral,1,"The text 'kgwetlhe' is a single word without context, making it difficult to determine any specific sentiment or emotional tone.",True,,"[""Kgwetlhe ya go ithuta dipalo e hloka boitshwaro le boikokobet\u0161o."", ""Mo\u0161omo wo o mpsinyedit\u0161ego o be o le kgwetlhe, efela ke ithutile mo gont\u0161i.""]"
kwatile,angry,zero-shot,negative,3,"The word 'kwatile' indicates anger or dissatisfaction, suggesting a negative sentiment.",True,,"[""O kwatile ka lebaka la go se hlomphege ga gagwe."", ""Ke kwatile ka ge a ile a bolela maaka ka nna.""]"
kwatša,Anger,few-shot,neutral,1,"The text 'kwatša' is a single word without context, making it difficult to determine any specific sentiment or emotional tone.",True,,"[""Kwat\u0161a e be e le gare ga t\u0161hemo, e lebelet\u0161e let\u0161at\u0161i le hlaba."", ""Bana ba be ba thabile ge ba bona kwat\u0161a e bina ka mafelelo a let\u0161at\u0161i.""]"
lethabo,happiness,zero-shot,positive,3,"The word 'lethabo' means 'happiness' in Sepedi, indicating a positive sentiment.",True,,"[""Lethabo le tlet\u0161e ka dipelong t\u0161a rena ge re kopana le bagwera ba kgale."", ""Go bona ngwana a thoma sekolo ka lethabo go dira gore batswadi ba ikwe ba thabile.""]"
mahlolofatšo,Disgusted or repulsed,few-shot,neutral,1,"The text 'mahlolofatšo' is a neutral term meaning 'blessings' or 'wishes', which does not inherently convey a strong emotional tone or subjective opinion.",True,,"[""Mahlolofat\u0161o a diphoofolo t\u0161a naga a thu\u0161a go boloka tikologo e lekanet\u0161ego."", ""Mahlolofat\u0161o a mehlare a bohlokwa bakeng sa go lwant\u0161ha phefo le go fa moriti.""]"
makgonthe,realistic,zero-shot,neutral,1,"The text 'makgonthe' is a single word without context, making it difficult to determine any emotional tone or subjective opinion.",True,,"[""Makgonthe a diphoofolo a fapana go ya ka mehuta ya t\u0161ona le mafelo ao di dulago go ona."", ""Go ithuta makgonthe a diphedi t\u0161a ka meetseng go thu\u0161a boradiphedi go kwe\u0161i\u0161a bophelo bja ka tlase ga meetse.""]"
manyami,sadness,zero-shot,neutral,1,"The text 'manyami' is a single word without context, making it impossible to determine any emotional tone or subjective opinion.",True,,"[""Manyami a be a le boleta ge a be a bolela ka ga diphoofolo t\u0161a naga."", ""Bana ba ile ba thabela go kwa manyami a opela diko\u0161a t\u0161a set\u0161o.""]"
maphodisa,Disappointed or let down,few-shot,neutral,1,"The text 'maphodisa' is a noun meaning 'police' in Sepedi, which does not inherently convey any positive or negative sentiment.",True,,"[""Maphodisa a \u0161oma bo\u0161ego le mosegare go netefat\u0161a polokego ya set\u0161haba."", ""Maphodisa a be a le gona moletlong go hlokomela gore dilo di sepela gabotse.""]"
Mokgatlo,harmony,zero-shot,neutral,1,"The text is a single word 'Mokgatlo', which does not convey any clear emotional tone or subjective opinion.",True,,"[""Mokgatlo wa baswa o hlophile let\u0161at\u0161i la go hlweki\u0161a tikologo."", ""Mokgatlo wa borai o beakant\u0161e kopano ya ngwaga ka moka.""]"
Molato,disappointment,zero-shot,neutral,1,"The text consists of a single word 'Molato', which means 'case' or 'charge' in Sepedi, and does not convey any clear emotional tone or subjective opinion.",True,,"[""Molato wa gagwe o ile wa sekasekwa ke baahlodi ka botlalo."", ""Batswadi ba gagwe ba ile ba mo tshepa le ge a be a le molato.""]"
nyamišwa,disappointed or saddened,few-shot,negative,3,"The word 'nyamišwa' in Sepedi typically conveys a sense of being upset or annoyed, indicating a negative sentiment.",True,,"[""Ke nyami\u0161wa ke go bona bana ba sa hlokomelwe gabotse."", ""Go nyami\u0161wa ge batho ba sa hlomphe ditlwaelo t\u0161a set\u0161o.""]"
pefelo,anger,zero-shot,positive,3,"The word 'pefelo' in Sepedi translates to 'love', which generally conveys a positive sentiment.",True,,"[""Pefelo ya gagwe ya go thu\u0161a ba bangwe e dirile gore a rategwe kudu motseng."", ""Ka pefelo le maikemi\u0161et\u0161o, o kgonne go fihlelela dipakane t\u0161a gagwe t\u0161a bophelo.""]"
thabile,Joyful,few-shot,positive,3,"The word 'thabile' means 'happy' in Sepedi, indicating a positive sentiment.",True,,"[""Ke thabile kudu ge ke bona bagwera ba ka ba atlega."", ""Ngwana o thabile ge a bona mpho ya gagwe ya let\u0161at\u0161i la matswalo.""]"
thabišo,amusement,zero-shot,positive,3,"The word 'thabišo' in Sepedi conveys happiness or joy, indicating a positive sentiment.",True,,"[""Thabi\u0161o e tli\u0161it\u0161e lethabo le legolo mo lapeng la rena ge a amoget\u0161e mpho ya gagwe."", ""Moletlo wa matswalo o be o tlet\u0161e ka thabi\u0161o le mekgolokwane ya go bina.""]"
thakgala,joyful or delighted,few-shot,neutral,1,"The text 'thakgala' is a single word without context, making it difficult to determine any specific sentiment or emotional tone.",True,,"[""Thakgala ya diphoofolo t\u0161a naga e dirwa ka maikemi\u0161et\u0161o a go \u0161irelet\u0161a mehuta e fapafapanego."", ""Mo\u0161omo wa thakgala o akaret\u0161a go hlokomela le go hlweki\u0161a mafelo a boikhut\u0161o.""]"
thokgweng,Peaceful or at ease,few-shot,neutral,1,"The text 'thokgweng' is a single word without context, making it impossible to determine any emotional tone or subjective opinion.",True,,"[""Thokgweng ya motse e be e tlet\u0161e ka batho ba bant\u0161i ba bego ba etla go bona dipont\u0161ho t\u0161a set\u0161o."", ""Mo\u0161omo wa gagwe o akaret\u0161a go hlokomela diphoofolo t\u0161e di lego thokgweng.""]"
Thuto,curiosity,zero-shot,neutral,1,"The text 'Thuto' is a neutral term meaning 'education' in Sepedi, without any emotional tone or subjective opinion expressed.",True,,"[""Thuto ke senotlolo sa katlego bophelong."", ""Thuto ya dipalo e bohlokwa go bana ba sekolo.""]"
tlalelo,Despair,few-shot,neutral,1,"The text 'tlalelo' is a single word without context, making it impossible to determine any emotional tone or subjective opinion.",True,,"[""Tlalelo ya me\u0161omo e dirile gore ba\u0161omi ba oket\u0161e diiri t\u0161a bona t\u0161a mo\u0161omo."", ""Go na le tlalelo ya dijo ka lebaka la dipula t\u0161e di sa lekanego.""]"
tshenyegelo,financial loss or expense,few-shot,negative,3,"The word 'tshenyegelo' in Sepedi translates to 'destruction' or 'damage', which carries a negative connotation.",True,,"[""Tshenyegelo ya madi e bakilwe ke diphetho t\u0161e mpe t\u0161a taolo ya kgwebo."", ""Tshenyegelo ya tikologo e dirilwe ke t\u0161hwelet\u0161o ya dit\u0161hila t\u0161e dint\u0161i.""]"
Tshireletso,admiration,zero-shot,neutral,1,"The text consists of a single word 'Tshireletso', which does not convey any clear emotional tone or subjective opinion.",True,,"[""Tshireletso ya tikologo ke boikarabelo bja rena ka moka."", ""Mokgatlo wa Tshireletso o hlophile kopano ya go hlalosetsa set\u0161haba ka fao ba ka it\u0161hirelet\u0161ago ka gona.""]"
tšhitišo,financial disruption or obstacle,few-shot,neutral,1,"The text 'tšhitišo' is a single word without context, making it impossible to determine any emotional tone or subjective opinion.",True,,"[""T\u0161hiti\u0161o ya dipuku t\u0161a sekolo e dirilwe ka lebaka la diphetogo t\u0161a lenaneo la thuto."", ""Go na le t\u0161hiti\u0161o ya dipalopalo mo diphihlelong t\u0161a ngwaga wo o fetilego.""]"
