word,meaning,prompt_type,sentiment,rating,explanation,analysis_valid,analysis_error,source_sentences
bofokoli,weakness,few-shot,negative,3,"The word 'bofokoli' translates to 'weakness', which carries a negative connotation.",True,,"[""Bofokoli ba hae bo ile ba etsa hore a lahleheloe ke mosebetsi."", ""Bofokoli ba moralo oo bo ile ba baka mathata a mangata.""]"
bohloki,poverty,zero-shot,negative,3,"The word 'bohloki' translates to 'suffering' or 'misery', which conveys a negative emotional tone.",True,,"[""Bohloki bo bakile mathata a mangata motseng wa rona."", ""Bana ba ile ba tshwarwa ke bohloki ka lebaka la maemo a mabe a leholimo.""]"
boiketlo,prosperity or economic comfort,few-shot,positive,3,"The word 'boiketlo' suggests a sense of ease or comfort, indicating a positive sentiment.",True,,"[""Boiketlo ba motseng bo ile ba thusa batho ho phela ka khotso le kutlwano."", ""Ka mor'a mosebetsi o boima, ke ile ka thabela boiketlo ba ho phomola lapeng.""]"
boikutlo,feeling,zero-shot,neutral,1,"The text 'boikutlo' translates to 'feeling' or 'emotion', which is neutral without additional context.",True,,"[""Boikutlo ba batho ka ga diphetogo mo tikologong bo farologana go ya ka maitemogelo a bona."", ""Go botlhokwa go tlhaloganya boikutlo jwa bana fa ba simolola sekolo se se\u0161wa.""]"
boitumelo,happiness,zero-shot,positive,3,"The word 'boitumelo' translates to 'happiness' or 'joy', indicating a positive sentiment.",True,,"[""Boitumelo bo tlala dipelong tsa batho ha ba kopana le metswalle ya bona ya kgale."", ""Ngwana o ile a tlala boitumelo ha a bona mpho ya hae ya letsatsi la tswalo.""]"
katlehile,successful or profitable in financial matters,few-shot,positive,4,"The word 'katlehile' means 'successful', indicating a strong positive outcome or achievement.",True,,"[""Moruti o katlehile ho ruta bana ba sekolo ka lerato le boinehelo."", ""Morero wa ho aha setsi sa boithabiso motseng o katlehile haholo.""]"
kgaello,scarcity or shortage in economic resources,few-shot,neutral,1,"The text 'kgaello' is a single word without context, making it difficult to determine any emotional tone or subjective opinion.",True,,"[""Kgaello ya dipalo tsa baithuti sekolong se e bakilwe ke maemo a moruo."", ""Kgaello ya pula selemong sena e amme temo le diphoofolo.""]"
kgalefo,anger,zero-shot,negative,3,"The word 'kgalefo' translates to 'anger', indicating a negative emotional tone.",True,,"[""Kgalefo e ile ya baka diphapano tse ngata mo lelapeng la rona."", ""Mokgwa wa gagwe wa kgalefo o ile wa senya botsalano ba bona.""]"
kgolo,growth,zero-shot,neutral,1,"The text 'kgolo' is a single word meaning 'growth' or 'increase', which does not inherently convey a positive or negative sentiment without additional context.",True,,"[""Kgolo ya moruo e amana le diphetogo tse di diragalang mo lefatsheng ka bophara."", ""Mokete wa kgolo ya ngwaga e be e le moletlo o mogolo motseng.""]"
khohlano,Feeling or showing deep disappointment and frustration.,few-shot,negative,2,"The word 'khohlano' suggests conflict or disagreement, indicating a negative sentiment.",True,,"[""Khohlano e bakile mathata a mangata mo lapeng la bona."", ""Ba ile ba leka ho rarolla khohlano, empa ho ile ha mpefala le ho feta.""]"
khopolo,idea,zero-shot,neutral,1,The text 'khopolo' is a neutral term meaning 'idea' or 'concept' without any emotional tone or subjective opinion.,True,,"[""Khopolo ea ho theha likoloi tse ikemetseng e ntse e tsoela pele ka potlako lefapheng la theknoloji."", ""Buka ena e fana ka khopolo e tebileng ea histori ea Basotho.""]"
